#{"t_start": 1765125375.6174812, "env_id": "None"}
r,l,t
-152.330826,100,329.17924
-113.275728,100,330.489974
-111.160212,100,331.78463
-86.757957,100,333.111664
-201.954522,100,334.479259
-95.892805,100,335.816285
-104.737017,100,337.143723
-82.046186,100,338.441796
-124.493111,100,339.764066
-87.02619,100,341.0697
73.154932,60,341.907721
-84.200083,100,343.252508
-78.932676,100,344.540251
-79.602571,100,345.810639
-101.956663,100,347.107876
111.88091,43,347.777759
84.13568,55,348.568286
-79.568588,100,349.862593
-77.421612,100,351.186384
60.715605,65,352.079323
-62.294749,100,353.367327
-85.503791,100,354.67515
-75.536459,100,355.995597
-79.680659,100,357.326894
-84.786191,100,358.63521
-80.291129,100,359.918042
-78.46532,100,361.184291
-95.520829,100,362.536656
-72.39472,100,363.840516
-99.231934,100,365.124437
-81.572156,100,366.400931
-81.596188,100,367.752182
-132.542215,100,369.057139
-82.109425,100,370.351385
-76.027535,100,371.65193
-74.083316,100,372.964799
-100.081316,100,374.268143
-1205.103641,100,376.087854
-624.219189,100,377.732629
-72.030323,100,379.174319
-471.20075,100,381.159325
-102.719307,100,382.570427
-75.142583,100,384.028844
-65.132479,100,385.367682
-105.575305,100,386.751512
-79.767203,100,388.06923
-429.403237,100,389.481311
-95.340602,100,390.84681
-94.41799,100,392.231178
-91.983718,100,393.657781
-73.126093,100,395.124027
124.351646,36,395.759075
140.606734,24,396.212505
-84.054062,100,397.497359
-77.366461,100,398.796695
-79.195555,100,400.131233
-82.06536,100,401.51398
-189.004819,100,402.848896
-80.855558,100,404.123803
-75.990144,100,405.427654
140.798907,21,405.847192
140.271162,22,406.274658
-94.489167,100,407.579975
-49.681943,100,408.91132
-103.401298,100,410.217319
-85.110064,100,411.531709
-83.607394,100,412.894892
-50.031437,100,414.24598
-190.128038,100,415.610506
-119.153249,100,416.968579
-86.542121,100,418.286045
-94.870697,100,419.568154
-143.203719,100,420.840147
-81.99812,100,422.113212
143.056661,20,422.531866
-90.245621,100,423.930203
-93.144775,100,425.374534
-66.725916,100,426.760646
-63.17688,100,428.085798
-103.634541,100,429.407426
-90.427995,100,430.723974
-104.065736,100,432.065758
-56.529225,100,433.385885
-98.413296,100,434.711556
142.290939,19,435.107869
-108.844684,100,436.443927
-102.448712,100,437.775247
115.392588,48,438.503609
-80.197885,100,439.828183
142.826043,19,440.219277
-112.324877,100,441.525544
120.6351,41,442.175174
-112.043181,100,443.479352
61.252543,94,444.754991
126.797118,34,445.330054
140.495173,25,445.779228
-134.931568,100,447.202549
127.232214,35,447.804187
-118.092306,100,449.191677
-106.783318,100,450.61983
-120.138838,100,451.945498
-115.840149,100,453.264129
-61.083159,100,454.584227
-110.83124,100,455.910629
-69.020852,100,457.240219
-61.86248,100,458.551082
135.959684,28,459.040635
86.959124,67,459.975722
-110.965455,100,461.312728
-62.097741,100,462.633676
-122.031371,100,463.930429
-65.290498,100,465.250211
144.66193,19,465.632724
-106.423267,100,466.951251
-125.432049,100,468.265919
-48.907386,100,469.591633
-52.770403,100,470.915677
-104.675499,100,472.215119
-111.746845,100,473.520075
-51.771658,100,474.859795
-73.583856,100,476.142923
-65.025529,100,477.460801
-96.209518,100,478.774163
-289.575373,100,480.390698
-138.62779,100,482.377659
-170.025279,100,483.676009
-61.191066,100,485.0194
-115.716313,100,486.364689
143.704433,20,486.764606
-114.998512,100,488.051512
-149.957784,100,489.647495
144.488196,19,490.036461
-70.864265,100,491.370959
-67.414406,100,492.713589
-68.653488,100,494.040874
-69.125934,100,495.379846
-108.562258,100,496.703026
-129.198885,100,498.051633
-91.816776,100,499.389634
-60.21288,100,500.725466
-68.651322,100,502.039493
-96.353804,100,503.354325
-61.212192,100,504.689614
-185.088261,100,506.542209
-92.464019,100,507.844372
-63.028634,100,509.177311
-92.721661,100,510.472954
108.62962,52,511.238338
135.726005,28,511.733216
-65.704524,100,513.06065
53.506605,88,514.237473
126.631068,35,514.815531
142.790949,20,515.20637
-217.743468,100,517.304084
95.685973,65,518.227152
-59.125949,100,519.571271
-171.934698,100,521.115892
-239.53797,100,522.983445
140.502966,24,523.448397
-68.517384,100,524.789627
-72.267672,100,526.125573
44.388279,94,527.389812
139.262307,25,527.832799
-282.746974,100,530.656288
-100.55331,100,532.001208
-99.440267,100,533.326664
-217.904601,100,535.03541
-86.026784,100,536.354465
-97.418488,100,537.664514
133.065843,30,538.185611
-100.203374,100,539.502855
-64.946284,100,540.841954
-163.658865,100,542.230159
-89.571312,100,543.540447
142.317109,20,543.938403
-186.125738,100,545.590856
-187.228614,100,547.428131
-89.101753,100,548.738562
-83.341133,100,550.073848
117.062954,44,550.726305
-42.230282,100,552.034182
-62.85381,100,553.3844
-167.281494,100,555.043238
138.996339,26,555.523835
-162.341606,100,556.856504
-162.44812,100,558.17246
141.244799,24,558.614822
-156.074301,100,559.953555
-166.502146,100,561.285303
-120.170602,100,562.602634
-94.457108,100,563.906346
117.493901,43,564.573068
-181.474422,100,565.890452
-157.08276,100,567.606835
-66.90082,100,569.001855
-59.825597,100,570.311981
-91.45729,100,571.60133
-63.698566,100,572.934316
-186.880241,100,574.345107
-170.105656,100,575.759173
140.0944,24,576.191203
-224.545191,100,577.482525
110.248576,47,578.181954
139.465115,25,578.632012
119.253127,41,579.260773
140.88015,24,579.671358
113.713188,44,580.315239
-106.90454,100,581.683597
-60.978109,100,582.971441
-111.75241,100,584.265742
-107.99726,100,585.58937
121.813389,39,586.205049
-112.142727,100,587.482385
-171.640216,100,588.813904
-60.827912,100,590.190422
-127.901024,100,591.53362
-151.596725,100,592.977877
-126.426103,100,594.299111
136.880853,26,594.767773
-95.125235,100,596.121957
-141.328444,100,597.48338
-105.662235,100,598.820285
-81.925928,100,600.138077
-114.9656,100,601.45995
-58.284725,100,602.764587
144.318623,19,603.155644
-113.141649,100,604.464971
-110.659282,100,605.764056
143.878254,19,606.153036
138.343769,25,606.580552
-114.739308,100,607.903446
141.923004,20,608.298821
-102.20546,100,609.652819
-78.787038,100,610.964788
-119.85908,100,612.291769
128.94747,33,612.820148
-84.980055,100,614.114995
-66.740119,100,615.447494
-105.867123,100,616.74732
-109.681927,100,618.046843
133.889451,28,618.532347
-89.82234,100,619.95357
142.837086,20,620.370379
-146.019547,100,621.691201
-135.598704,100,623.098109
-121.530147,100,624.420608
-139.264251,100,625.707157
139.879786,23,626.12932
-73.473814,100,627.458035
-124.803852,100,628.740553
142.489861,19,629.113487
-101.02898,100,630.4105
142.643862,19,630.801377
-118.801863,100,632.092093
142.735419,19,632.46894
139.138611,24,632.911697
134.398153,26,633.407901
-100.728134,100,634.831991
126.75245,31,635.39101
-91.177337,100,636.786981
138.677541,20,637.207651
-108.61372,100,638.611276
142.165406,19,639.003029
-89.451085,100,640.327738
137.262476,24,640.778673
-85.004157,100,642.112931
-84.683658,100,643.409965
-69.275899,100,644.717974
137.663207,24,645.16292
-82.784707,100,646.554065
-71.618534,100,647.902153
-122.219789,100,649.223728
-95.36961,100,650.567146
-114.664902,100,651.907857
139.432673,23,652.369414
138.899611,24,652.831951
138.398001,24,653.296862
-116.062337,100,654.630096
-103.845435,100,655.970529
119.4075,37,656.576931
-144.907053,100,657.917704
130.083555,29,658.417423
-147.780711,100,659.72395
-147.767743,100,661.043435
-119.143149,100,662.451921
-146.573201,100,663.74269
-144.893234,100,665.049224
-100.530536,100,666.376334
130.831399,29,666.890135
140.85157,23,667.337331
-66.537254,100,668.676882
143.454219,18,669.056866
-68.105654,100,670.392089
-152.443068,100,671.938228
-66.623908,100,673.293098
127.285657,31,673.823472
-98.853734,100,675.167662
-57.265967,100,676.478338
-157.861182,100,677.81519
-122.161961,100,679.205673
-124.712187,100,680.551889
-94.776236,100,681.977133
126.236945,32,682.55635
140.283713,23,683.023699
138.91925,24,683.510019
-145.417878,100,684.943311
-338.187961,100,686.383116
-73.195579,100,687.711577
-255.918395,100,689.171373
52.416021,95,690.425061
128.399223,30,690.948762
-101.644181,100,692.268577
-139.114454,100,693.585048
-303.358609,100,694.871606
136.262779,25,695.335802
-152.472659,100,696.608119
-75.268496,100,697.939133
-41.970315,100,699.25543
-177.005046,100,700.727204
-99.191405,100,702.023768
140.228817,23,702.463364
-97.37775,100,703.770947
-315.937304,100,705.058478
-64.72943,100,706.389577
-153.770754,100,707.688798
-66.668444,100,709.005821
-99.867386,100,710.341229
82.919592,70,711.292115
144.527621,18,711.654422
126.331693,31,712.19101
-160.190678,100,713.491924
140.768812,19,713.88348
-160.452809,100,715.158998
-185.45762,100,716.557305
-44.021873,100,717.87121
-119.640536,100,719.208221
-135.085154,100,720.521908
-137.378997,100,721.84156
-60.486022,100,723.176116
-120.984012,100,724.483246
134.166947,26,724.948644
-163.023109,100,726.403794
136.620717,25,726.876748
-133.09828,100,728.332038
121.53771,35,728.887964
-133.178659,100,730.196816
-183.803623,100,731.955645
145.410273,18,732.341305
-173.775593,100,733.932755
79.456683,76,734.948465
138.461267,24,735.404871
-164.813331,100,736.71491
119.805281,38,737.320698
123.569038,33,737.87502
121.305809,36,738.4596
138.093925,24,738.907933
121.353882,34,739.456689
-179.992322,100,741.182056
136.677832,24,741.624409
-191.204783,100,743.662056
-160.651748,100,744.940913
-41.521988,100,746.248142
133.414388,26,746.715187
83.941751,51,747.461552
-168.933046,100,748.758198
101.162567,61,749.621053
-168.991001,100,750.970632
132.876942,27,751.426831
-153.046524,100,752.965593
115.456903,39,753.558244
-124.553241,100,754.871381
-99.547673,100,756.188469
146.234304,18,756.57311
68.324405,80,757.664456
101.290426,51,758.417595
-176.22528,100,759.766447
-187.301669,100,761.073097
-206.163016,100,762.377062
-140.548733,100,763.697841
128.180316,30,764.209566
-164.552623,100,765.537698
-162.435362,100,766.859397
-118.589915,100,768.154746
84.903234,70,769.123948
146.031309,18,769.503392
-105.477737,100,770.814092
-48.077569,100,772.121162
-61.456751,100,773.433558
-214.200628,100,775.447363
69.723884,55,776.238201
-127.440576,100,777.561074
-99.126207,100,778.8896
146.284167,18,779.27049
-63.823553,100,780.602946
-185.64291,100,781.933164
-281.395216,100,783.960312
146.108936,18,784.355825
-215.285187,100,786.111546
-147.307582,100,787.439283
-224.251876,100,789.878138
30.720789,79,790.969193
-158.088878,100,792.56971
-258.570778,100,794.781979
145.758635,18,795.156289
48.317216,92,796.403208
-56.960866,100,797.702614
-63.05691,100,799.008319
-63.748488,100,800.385512
-140.44444,100,801.691813
-175.265033,100,802.968753
-259.398052,100,805.103814
-184.608357,100,806.748121
-207.315536,100,808.036283
-193.719018,100,809.976668
-193.278583,100,811.82045
-110.001245,100,813.109332
-93.006061,100,814.449131
-225.305062,100,816.327596
-178.134468,100,817.753116
-78.252119,100,819.057492
-240.252733,100,820.575772
146.114337,18,820.935557
-63.424137,100,822.273972
-131.803664,100,823.690923
-128.853632,100,824.985608
-238.374837,100,826.419688
-55.009443,100,827.746276
-63.122803,100,829.022054
146.368422,18,829.380858
-95.485259,100,830.662675
-56.326032,100,831.945429
145.889758,18,832.312955
-82.109007,100,833.565696
-127.211851,100,834.874082
-82.892372,100,836.168969
-245.652837,100,837.549442
