#{"t_start": 1764916300.63553, "env_id": "None"}
r,l,t
79.267748,74,1000.871041
109.598556,34,1004.437226
-116.997157,100,1009.13918
-130.404436,100,1013.08505
-105.307386,100,1018.071978
52.897234,100,1022.089561
84.102616,71,1025.856377
-63.265331,100,1030.088592
-63.250231,100,1033.094467
-58.722222,100,1038.103883
133.315868,27,1041.390767
-71.712725,100,1046.194961
135.455785,24,1050.368565
-93.473331,100,1055.151783
-91.959017,100,1059.161498
-88.204452,100,1064.231428
-67.099038,100,1069.168657
-100.889693,100,1074.14938
136.386477,24,1078.374246
-141.680108,100,1083.16054
-192.170631,100,1088.278283
-195.594626,100,1093.252483
-149.244939,100,1098.234915
-132.453291,100,1102.230763
-71.660845,100,1106.251948
-71.940966,100,1110.178457
-112.725433,100,1114.172707
-145.578635,100,1118.285625
-101.720704,100,1123.248214
134.023362,25,1127.436749
-89.181854,100,1132.192419
-131.076613,100,1137.265499
-89.635217,100,1142.220015
-154.377448,100,1147.244262
-93.075058,100,1152.309684
-166.811798,100,1157.320732
-85.880765,100,1162.235379
-139.941046,100,1167.231494
-141.697295,100,1172.24508
-112.983478,100,1177.258123
-72.945442,100,1182.268354
-120.892547,100,1187.292312
127.312572,32,1190.563868
-161.66106,100,1193.27862
-151.69117,100,1198.256357
-58.704946,100,1203.295748
-124.716221,100,1208.277292
-65.547569,100,1213.303492
-172.664585,100,1218.285074
-67.517606,100,1223.302612
-66.358404,100,1226.309175
-86.255067,100,1229.316086
-103.314731,100,1234.307453
-180.165354,100,1239.303237
-160.458114,100,1244.297466
-114.804845,100,1248.32481
-56.770144,100,1251.3249
-65.786469,100,1256.32815
-126.032535,100,1261.313158
-174.037537,100,1266.417361
-131.329082,100,1271.44722
-119.109411,100,1275.347893
-182.140066,100,1279.392425
-100.03242,100,1284.359391
-91.970926,100,1288.336246
-109.957596,100,1293.34742
-77.11847,100,1298.447289
-82.632824,100,1303.439423
-88.145402,100,1308.39932
-130.287546,100,1313.417612
-87.802822,100,1318.399159
-83.656397,100,1323.373423
-132.872687,100,1328.372095
-329.532376,100,1332.447373
-130.614017,100,1337.395126
-75.669572,100,1342.460956
-76.055427,100,1346.396281
-151.770343,100,1350.410308
-79.000279,100,1354.425462
-92.986634,100,1359.480521
-83.653584,100,1364.407331
-145.371862,100,1369.436049
-84.451347,100,1374.420904
-82.526145,100,1378.421962
-82.475048,100,1381.423144
-87.072772,100,1386.437134
-90.946992,100,1391.430204
-84.286489,100,1396.558774
-160.855815,100,1401.539273
-213.279719,100,1406.484809
-193.795575,100,1411.498837
-300.749897,100,1416.476763
-113.815852,100,1420.529771
-84.094963,100,1424.519446
-85.665372,100,1427.464874
-88.306083,100,1430.468029
-91.451338,100,1435.53905
-136.614556,100,1439.534111
-140.929215,100,1443.524653
-121.497538,100,1447.559149
-83.94462,100,1451.543453
-100.404126,100,1455.490311
-90.478457,100,1459.551041
-175.754874,100,1464.556137
-77.207524,100,1469.553248
-105.50888,100,1473.461988
-114.027734,100,1477.562862
-73.885625,100,1482.481207
-141.948503,100,1487.505379
-163.486303,100,1492.532968
-171.804198,100,1496.536494
-123.714482,100,1500.502707
129.891826,30,1503.797166
41.249256,73,1507.288862
-81.356523,100,1509.525183
-170.186563,100,1513.539262
-159.061024,100,1517.52285
-168.266684,100,1521.520002
-196.2096,100,1526.043922
-157.787068,100,1529.514345
-337.204505,100,1532.970206
-347.738911,100,1537.074898
-107.075644,100,1541.529606
-282.03383,100,1546.062102
-107.813886,100,1549.549041
-132.721192,100,1553.557569
-105.046495,100,1557.5539
-174.493178,100,1561.77691
-86.212961,100,1565.533467
-169.040258,100,1570.827751
-143.296295,100,1573.579077
-139.588988,100,1578.59812
-131.883289,100,1582.597502
-130.467374,100,1586.595318
-122.849391,100,1591.5681
-97.417814,100,1595.598408
-77.236942,100,1600.585649
-84.742828,100,1604.565495
-117.663659,100,1609.583645
-97.33197,100,1613.659331
-97.496496,100,1617.592775
-119.749622,100,1622.62466
-119.400683,100,1627.613198
-176.507862,100,1632.675881
-121.774939,100,1636.617505
-135.804663,100,1640.628352
-156.588224,100,1645.674242
-161.24773,100,1650.652235
-157.760158,100,1654.75364
-129.225523,100,1659.632614
-154.763377,100,1663.678942
73.923958,69,1668.329975
-117.794702,100,1671.642854
-123.206966,100,1675.658142
-125.596381,100,1679.65302
-84.664064,100,1684.73854
-199.043103,100,1689.769789
-93.335792,100,1694.79292
-195.532954,100,1698.811739
-158.40803,100,1703.694423
-102.51026,100,1707.709898
-97.010088,100,1711.71365
-427.073085,100,1715.711554
-142.823476,100,1718.806997
-113.294933,100,1723.740071
-91.441446,100,1728.717553
123.195866,34,1732.031709
-113.059412,100,1735.754071
-138.764376,100,1740.752446
-137.612662,100,1744.821309
-173.519166,100,1749.729989
-120.130463,100,1753.745703
-119.503946,100,1757.741841
-138.467866,100,1762.753727
-113.864392,100,1766.849826
-134.80695,100,1770.83473
-111.823773,100,1775.776189
-128.790105,100,1779.899286
-138.008743,100,1784.770642
141.237643,20,1788.934466
-127.156527,100,1793.794956
-127.798827,100,1797.772097
-145.457465,100,1802.791554
-131.667484,100,1807.986498
-99.98675,100,1811.886313
-147.08042,100,1816.880174
-99.388434,100,1821.845559
-102.227107,100,1825.849464
-151.291932,100,1830.861067
-124.249087,100,1835.828383
-146.819292,100,1839.922669
-96.028916,100,1843.787058
-76.697335,100,1846.78751
144.631833,18,1850.976865
-109.419185,100,1855.926954
-116.317413,100,1859.9101
-96.829628,100,1863.823641
-159.765997,100,1867.822811
-90.269338,100,1871.819004
-166.861767,100,1877.032462
-129.026113,100,1881.902087
-127.029646,100,1886.98491
-132.236219,100,1892.016303
-254.819157,100,1896.932911
-83.10682,100,1900.91415
-111.555895,100,1904.933537
-81.595549,100,1908.937001
-96.89666,100,1913.859262
69.52143,64,1917.49303
-141.003536,100,1921.03067
-177.466849,100,1924.961479
-95.489186,100,1927.944726
-68.443244,100,1930.994088
-144.816731,100,1934.916861
-116.010685,100,1937.922124
-105.253593,100,1941.997084
-118.595763,100,1946.979829
-130.233433,100,1950.983043
-127.863376,100,1953.988225
-125.617185,100,1958.952394
-111.660474,100,1963.971286
-115.551578,100,1968.919001
-121.276653,100,1972.998164
-122.378937,100,1976.941312
-154.599614,100,1980.080059
-98.016271,100,1985.04352
-129.792739,100,1989.051458
-209.810767,100,1994.051723
-148.889647,100,1999.056221
-138.332447,100,2002.981057
-97.947223,100,2007.966351
-141.591661,100,2012.986498
-147.357811,100,2018.045859
-141.372823,100,2022.016351
-107.403866,100,2025.040013
-120.983274,100,2029.081025
-106.336507,100,2034.063677
-98.320578,100,2038.995039
-127.738036,100,2044.006462
-125.349089,100,2049.018495
-109.91515,100,2054.01899
-145.593715,100,2058.020512
-137.474606,100,2063.083741
-140.833274,100,2068.101312
-209.057079,100,2072.266302
-115.305928,100,2077.033109
-93.927114,100,2081.030607
-150.36442,100,2084.166956
85.18516,60,2088.671438
-141.133066,100,2092.117865
-91.359192,100,2097.134741
-108.130149,100,2102.055132
-153.170828,100,2107.197804
-142.160054,100,2112.105129
-156.839603,100,2117.136545
-131.278899,100,2122.132707
-132.55672,100,2127.135376
-141.16058,100,2132.0911
-159.869552,100,2136.067526
-130.096562,100,2141.069211
-160.483903,100,2146.061902
-141.361115,100,2150.126176
-142.412412,100,2155.160621
-140.300891,100,2158.07196
-118.486347,100,2161.053233
-131.065832,100,2166.066456
-92.940224,100,2169.137247
-84.254383,100,2174.201225
-98.402461,100,2179.163093
-119.391749,100,2183.15171
-197.013251,100,2187.29577
-131.658335,100,2191.114822
-119.898969,100,2195.169358
-133.026781,100,2199.087941
-119.139334,100,2204.17763
-127.733831,100,2208.093216
-98.370521,100,2212.111148
-182.515562,100,2216.185546
-107.813074,100,2221.179986
-153.974742,100,2225.102802
-122.765324,100,2229.107743
-163.21798,100,2233.108765
-113.650808,100,2236.105515
-128.331846,100,2240.195744
-104.97122,100,2244.120282
-94.662415,100,2248.129002
107.040816,45,2251.573759
-124.265318,100,2255.134906
-125.757427,100,2259.133814
-119.588197,100,2263.14753
-119.820846,100,2267.1945
-155.631029,100,2271.222841
111.56992,39,2274.522231
-163.94986,100,2279.243116
-82.765846,100,2282.182189
-101.907557,100,2285.179094
-112.379929,100,2290.167562
-103.141179,100,2294.163729
-113.496224,100,2299.259659
-135.593603,100,2304.2977
-114.167998,100,2309.264986
-76.461129,100,2314.273168
-99.033211,100,2319.217691
-112.252639,100,2323.192434
-148.937573,100,2327.291528
-126.356295,100,2331.233914
-107.920652,100,2335.328822
-105.294011,100,2339.301336
-119.808932,100,2344.24754
-132.621779,100,2348.264747
-223.318675,100,2352.241235
-110.762467,100,2357.266109
-139.597636,100,2362.250428
-108.957822,100,2366.271617
-101.241724,100,2371.278167
-128.099027,100,2376.275268
-101.088723,100,2380.366644
-105.261455,100,2385.302993
-176.617002,100,2389.279235
-113.68366,100,2393.291473
-76.795071,100,2398.329166
-188.066319,100,2402.317133
-106.166578,100,2406.304153
-130.089747,100,2411.295403
