#{"t_start": 1765095152.9303436, "env_id": "None"}
r,l,t
-287.771213,100,388.948762
-225.756279,100,393.978243
-289.811647,100,398.954311
-194.919397,100,402.962849
-317.335339,100,408.039896
-208.479072,100,412.052291
-295.44861,100,416.995135
-230.32585,100,422.052594
-214.579345,100,427.087653
-400.666656,100,432.019263
-514.278739,100,436.994773
-357.002276,100,442.056339
-283.274215,100,447.137404
-244.367561,100,452.083922
-247.981338,100,456.103678
-175.450432,100,460.119805
-257.392875,100,465.100604
-251.707731,100,469.120304
-170.517918,100,474.101902
-215.012365,100,479.052878
-220.118252,100,484.038635
-236.380487,100,489.038626
-272.030755,100,494.050799
-204.459131,100,499.048211
-255.935713,100,504.049005
-265.406586,100,508.068692
-287.551817,100,512.029489
-178.661862,100,517.075131
-324.414822,100,522.109829
-210.499195,100,527.075343
-232.510156,100,532.072296
-233.240548,100,537.081911
-262.864159,100,542.089863
-243.120085,100,546.105529
-232.164518,100,551.10845
-242.820244,100,556.106073
-230.31846,100,561.120239
-252.972023,100,566.148185
-192.737676,100,571.160599
-260.74316,100,576.141348
-265.998112,100,581.179129
-291.689554,100,586.161867
-284.579687,100,591.146274
-308.952792,100,596.155268
-277.6524,100,601.166602
-274.834529,100,606.202311
-216.658539,100,611.158571
149.257424,21,615.358654
-271.286558,100,620.166152
-238.943587,100,625.195653
-267.461383,100,630.196197
-189.002645,100,635.227457
-1.1855,63,639.839662
-231.060118,100,644.188548
-213.344615,100,648.193875
-320.177018,100,653.20942
-297.793695,100,658.198088
-294.551077,100,663.197367
-220.627451,100,668.235743
-290.634492,100,673.239417
-317.796954,100,678.204249
-174.095908,100,683.249502
-200.022489,100,688.27022
-277.899156,100,693.255313
-181.951367,100,698.270561
-575.897902,100,703.289611
-200.698422,100,708.234597
-175.050921,100,713.273365
-270.065703,100,718.271022
-179.810691,100,723.292819
-595.932632,100,728.225475
-291.378337,100,733.2955
-150.682814,100,738.245029
-307.810467,100,743.310989
-183.051691,100,747.251928
-167.465204,100,752.249752
-564.632219,100,757.279322
-257.017235,100,761.320419
-298.368327,100,766.328907
-275.513093,100,771.342863
-217.138674,100,776.401994
-305.909287,100,781.356027
-221.726056,100,786.348251
-221.792322,100,790.407006
-251.510922,100,795.379301
-289.245908,100,800.516147
-390.702442,100,805.752414
-369.146354,100,811.189719
129.239956,20,814.684238
-377.153758,100,820.062997
-314.378748,100,825.231133
-315.75768,100,830.010337
-228.349803,100,833.66504
-255.676234,100,838.375302
-320.897784,100,843.537861
-305.771174,100,848.522941
-879.126185,100,853.550883
-1032.093025,100,858.477993
-639.56503,100,863.528683
-672.971942,100,868.516469
-664.854598,100,873.532556
-754.068034,100,878.49746
-710.033617,100,883.51983
-686.018531,100,886.531923
-522.052188,100,891.55146
-546.20879,100,895.550198
-468.195457,100,900.573896
-492.286262,100,905.408735
-891.310203,100,910.468678
-584.877225,100,915.490853
-529.823884,100,920.609016
-628.475528,100,925.530398
-572.971768,100,930.436165
-636.08932,100,935.571477
-927.231652,100,940.524327
-757.041939,100,945.632618
-652.58844,100,950.606443
-749.908062,100,955.596193
-755.813523,100,960.511599
-857.958507,100,965.609444
-635.826815,100,970.614073
-593.577406,100,975.629352
-550.812226,100,980.545072
-425.716946,100,985.614794
-819.718159,100,990.644627
-454.039156,100,995.599142
-262.639061,100,1000.557615
-439.792308,100,1004.550905
-688.646595,100,1009.569281
-559.514132,100,1014.579167
-605.438527,100,1019.700443
-218.634594,100,1024.581571
-784.140495,100,1029.598004
-201.826959,100,1034.698397
-428.728829,100,1039.604352
-613.94281,100,1045.661315
-562.466375,100,1051.7878
-391.088118,100,1056.657274
-300.038422,100,1061.625097
-671.811774,100,1066.703409
-649.757372,100,1071.682773
-419.006326,100,1076.633884
-501.480594,100,1081.767273
-410.765328,100,1084.836022
-412.707583,100,1089.989184
-677.372649,100,1094.767144
-587.278665,100,1100.77729
-807.841944,100,1106.945926
-351.587264,100,1111.841566
-467.928188,100,1117.43556
-352.757528,100,1122.301449
-642.655372,100,1126.754034
-244.159429,100,1130.76577
-246.406254,100,1133.784843
-194.306163,100,1137.832464
-378.571387,100,1142.751544
-331.126676,100,1147.174431
-294.637863,100,1151.839165
38.441731,55,1156.337126
-212.599048,100,1160.862446
-336.76797,100,1166.233338
-304.287135,100,1170.886805
-3221.399251,100,1174.736642
-269.094821,100,1177.877639
-467.52392,100,1182.768398
-264.0601,100,1187.789764
-341.573942,100,1191.856317
-266.226238,100,1196.857579
-230.491799,100,1201.893854
-208.878126,100,1206.816313
-183.20729,100,1210.824855
-432.79919,100,1214.900382
-322.667063,100,1219.865213
-198.473242,100,1223.912045
-211.88977,100,1227.918953
-367.240677,100,1233.698938
-302.071929,100,1238.921323
-304.487573,100,1243.850611
-318.059034,100,1248.846524
-309.640802,100,1252.936669
-187.99019,100,1257.867132
-287.990387,100,1262.886413
-190.21927,100,1267.898537
-374.391066,100,1272.853742
-318.222101,100,1277.226925
-315.535161,100,1280.186774
-428.12672,100,1284.964142
-391.557429,100,1287.9697
-366.565168,100,1293.207741
-309.093558,100,1297.991288
-305.785382,100,1301.975831
-281.719854,100,1306.998556
-460.517821,100,1311.987308
-182.973546,100,1316.899233
-178.719375,100,1321.919125
-378.249299,100,1326.922317
-435.893961,100,1332.251296
-282.517747,100,1336.94113
-360.323205,100,1341.980238
-421.404256,100,1346.951072
-378.321307,100,1350.949129
-302.204018,100,1354.966774
-250.274446,100,1357.970133
-259.470634,100,1362.970703
-347.518247,100,1367.967657
-375.59697,100,1373.307513
-355.776426,100,1378.092722
-148.857388,100,1382.985748
-271.828401,100,1387.992486
-437.395067,100,1392.574083
36.342977,46,1396.4373
-450.18984,100,1401.653003
-355.454058,100,1406.007391
-429.308678,100,1411.474371
-303.041241,100,1416.029753
-149.181539,100,1420.01861
-150.241141,100,1425.026893
-216.112915,100,1429.032466
-324.043045,100,1433.051282
-315.51451,100,1438.062205
186.856457,6,1442.06385
-272.76582,100,1447.045321
-279.472762,100,1452.11348
-237.959965,100,1457.072826
-313.524471,100,1462.077594
-250.525485,100,1466.087546
-261.65443,100,1469.08375
-225.868068,100,1472.107218
-221.901854,100,1477.077063
-255.848625,100,1481.095969
-218.036882,100,1485.098004
-249.231468,100,1490.100476
-159.154056,99,1495.127208
-237.340593,100,1500.118622
-227.449393,100,1505.113615
-237.996762,100,1510.136272
-251.90677,100,1515.136632
-152.866787,100,1520.131423
-257.281099,100,1525.224241
-204.584243,100,1529.147319
-283.303098,100,1534.249966
-266.812501,100,1539.160462
-222.928971,100,1544.219117
-198.010767,100,1548.259166
127.484158,27,1552.424197
-228.208304,100,1557.191153
-199.147415,100,1562.262007
173.376996,10,1566.249653
-284.66028,100,1571.275935
-271.821679,100,1575.263329
-77.50618,71,1578.943874
-134.083633,100,1581.262858
-269.800462,100,1585.220205
-289.204497,100,1590.302211
-193.52282,100,1593.288846
-212.107473,100,1598.260955
-246.479607,100,1602.319707
-279.79732,100,1606.326217
-286.745469,100,1610.323125
-268.821009,100,1614.251811
-255.927708,100,1619.244624
-148.580332,100,1623.219477
-243.441272,100,1627.244631
-267.772717,100,1632.264255
-354.779909,100,1637.31931
-537.745712,100,1641.221302
-378.08984,100,1644.725225
-186.995536,100,1649.246409
-532.718597,100,1653.37109
-196.932408,100,1658.372627
-239.41121,100,1662.803645
-249.834404,100,1667.818988
-498.952385,100,1672.370652
-327.143027,100,1677.987773
-354.99206,100,1682.918489
-483.574149,100,1687.39296
-472.732624,100,1692.409427
-477.858432,100,1697.407431
-456.833625,100,1701.39001
-304.840119,100,1705.525026
-429.663659,100,1708.455685
-332.606793,100,1713.608315
-449.875933,100,1717.336219
-163.642976,100,1722.360622
-447.312577,100,1727.383879
-354.844389,100,1732.551586
-189.378711,100,1736.359137
-415.261467,100,1740.376303
-413.126565,100,1745.402462
-382.811566,100,1750.387472
-443.280222,100,1755.382911
-367.290606,100,1760.389059
-350.382385,100,1765.402569
-178.235378,100,1770.400611
-325.539217,100,1775.681015
-335.088901,100,1780.428363
-335.074394,100,1785.42414
-289.235109,100,1790.414583
-150.460594,100,1795.424561
-390.42489,100,1800.634972
-344.790173,100,1805.477365
-352.282527,100,1809.514553
-236.758853,100,1814.443058
-331.158295,100,1819.459398
-366.841143,100,1824.595665
-319.014583,100,1829.503288
-325.723418,100,1833.480315
-232.553199,100,1837.464585
-372.057115,100,1842.650793
-346.887274,100,1847.479106
-330.440004,100,1852.508332
-231.49712,100,1856.492407
-275.012675,100,1861.553063
-244.267396,100,1866.530857
-161.151233,100,1871.529913
-263.218177,100,1875.56697
-262.7506,100,1879.615659
-357.91136,100,1884.854561
-214.014352,100,1890.267946
-392.149423,100,1895.199234
-287.201475,100,1899.648241
-295.002012,100,1904.893003
-280.426806,100,1908.655978
-300.354198,100,1912.834244
-291.089419,100,1916.886814
-294.603151,100,1919.918593
-379.511765,100,1924.300322
-263.631079,100,1927.739311
-194.40226,100,1930.657233
-277.717477,100,1936.071255
-261.728895,100,1939.728985
-209.726601,100,1945.298503
-377.094424,100,1949.109226
-200.053965,100,1954.255914
-274.806934,100,1957.679391
-389.872319,100,1962.31218
-363.2678,100,1966.321125
-216.653163,100,1971.293985
-339.29413,100,1975.271225
-366.189589,100,1979.24394
-280.132896,100,1984.068747
-281.745963,100,1988.068909
-375.451168,100,1992.442813
-289.587787,100,1995.785852
-213.896312,100,2001.407835
-229.827991,100,2005.673361
-414.934968,100,2011.677053
-351.214544,100,2016.440256
-305.582856,100,2021.275922
-345.687432,100,2024.375147
-224.571892,100,2027.479789
-275.160318,100,2029.972136
-264.16179,100,2033.807658
-395.241586,100,2038.656137
-232.989056,100,2044.706054
-267.129352,100,2049.980178
-395.947619,100,2055.55908
-291.542255,100,2060.726788
-230.111885,100,2066.5754
-411.871834,100,2072.688775
-371.009784,100,2076.279752
-303.575109,100,2080.980926
-208.663699,100,2086.262478
-449.642888,100,2091.224502
-226.651718,100,2096.618927
-302.942396,100,2101.167528
-352.237226,100,2106.305167
-168.922457,100,2110.760656
-333.666267,100,2116.318291
-152.234125,100,2120.857827
-439.603214,100,2126.361083
-305.957554,100,2131.071138
-361.651345,100,2136.301032
-355.565882,100,2140.798141
-346.051038,100,2145.891779
-343.815276,100,2150.907579
-152.797249,100,2155.898091
-287.025643,100,2161.230823
-271.129005,100,2165.917886
186.509134,6,2168.846327
-142.202107,100,2172.796993
-350.0294,100,2176.838772
-333.615251,100,2181.805831
-215.30837,100,2187.046925
-156.408939,100,2191.910236
-200.885194,100,2196.90185
-220.77519,100,2202.24738
-226.661632,100,2207.194817
-196.232643,100,2209.853389
81.03124,45,2212.331251
-286.350046,100,2216.953951
-310.643481,100,2220.879674
-130.724856,100,2225.966406
-254.91247,100,2231.151926
-200.897796,100,2235.931627
-240.215541,100,2241.149197
-192.421059,100,2244.875456
-292.446644,100,2250.143993
-1342.469024,100,2253.236
-233.106097,100,2255.911282
-213.833333,100,2260.946716
-1412.280544,100,2264.91405
-191.426963,100,2269.906029
-198.599059,100,2274.858366
-199.981951,100,2280.039605
-258.773052,100,2285.083152
-1280.561829,100,2288.90174
-192.960181,100,2293.957481
-354.957063,100,2297.965351
-315.683661,100,2301.96366
-273.664158,100,2305.991328
-1047.612342,100,2310.898635
-205.408127,100,2314.967208
-558.273738,100,2318.914017
-260.862281,100,2323.997551
-278.209363,100,2327.929614
-143.038698,100,2331.008685
-281.102949,100,2336.011352
-291.470577,100,2340.95356
-272.957277,100,2345.957734
-260.950807,100,2350.017408
-261.527569,100,2355.051691
-493.980489,100,2358.975536
-128.327052,89,2363.875443
-168.697909,100,2368.03942
-179.209199,100,2373.044932
-236.936454,100,2378.097781
-188.668138,100,2382.062298
-218.651018,100,2386.055741
-217.325549,100,2391.064349
-458.861135,100,2396.015764
-218.547947,100,2400.039608
-356.485512,100,2405.056705
-205.844821,100,2409.062438
-164.824316,100,2414.088577
-404.857178,100,2419.08707
-230.115709,100,2424.125985
-204.884586,100,2428.097319
-389.906775,100,2432.463498
-187.519005,100,2436.101011
-233.442512,100,2439.117653
-207.022846,100,2442.130956
-228.718462,100,2445.123639
-201.949521,100,2449.099171
-156.028103,100,2452.127875
-162.652615,100,2456.132347
-438.358625,100,2459.146633
-215.032944,100,2464.145763
-220.671798,100,2469.157689
-383.923651,100,2472.38477
-402.944832,100,2475.704177
-247.067265,100,2480.16387
-382.341855,100,2485.158508
-357.767841,100,2489.416404
-393.632013,100,2493.470518
-392.754238,100,2497.524439
-354.47542,100,2501.552225
-372.875189,100,2506.401265
-200.403753,100,2510.208149
-144.451551,100,2514.197869
-309.698666,100,2517.338585
-217.065516,100,2522.201895
-151.099541,100,2526.204035
-217.67113,100,2530.207332
-153.857352,100,2534.208936
-231.05071,100,2538.244731
-207.495889,100,2542.248928
-201.559828,100,2546.239686
-298.745331,100,2550.226129
-174.61691,100,2554.242017
-176.952952,100,2559.2376
-191.625156,100,2563.241299
-299.221419,100,2567.241898
-237.499021,100,2571.247257
-38.900195,80,2575.05016
-189.543138,100,2578.257336
-196.845055,100,2582.308362
-187.425907,100,2587.281273
-174.43876,100,2591.284861
-50.212959,81,2595.09818
-213.309386,100,2598.283184
160.662471,13,2602.373311
-222.281209,100,2607.29439
-292.239111,100,2612.318003
-236.571498,100,2616.307133
-186.581944,100,2621.305715
-203.010921,100,2626.303813
-229.474102,100,2631.330268
-204.082028,100,2635.315969
-192.902855,100,2639.311892
-184.58023,100,2644.341721
-188.054465,100,2648.327106
-186.506161,100,2653.363245
164.581036,14,2657.45366
-198.252702,100,2662.357812
-186.313419,100,2667.346895
-206.281659,100,2672.358346
-163.977517,100,2677.388427
-435.913982,100,2681.386723
