#{"t_start": 1764828803.3887002, "env_id": "None"}
r,l,t
-108.623389,100,1084.787013
-87.422954,100,1088.786186
-100.14826,100,1092.759022
-105.124434,100,1097.673811
-129.976859,100,1102.785697
-158.608126,100,1107.736113
-141.112709,100,1112.770667
-152.914921,100,1116.979707
-133.998131,100,1121.869949
-136.379371,100,1126.75418
-153.451261,100,1131.739013
-129.382966,100,1136.731295
-165.622246,100,1141.75026
-149.470971,100,1146.751746
-181.224266,100,1151.74943
-177.186954,100,1156.739186
-102.180299,100,1161.841337
-78.831978,100,1165.811751
-85.907114,100,1169.790049
-115.248235,100,1173.870086
-112.18528,100,1178.897076
-92.180303,100,1183.802439
-94.58315,100,1188.863454
-82.460095,100,1193.86859
106.372526,42,1198.235667
-96.310803,100,1202.863766
-85.059634,100,1206.843784
-80.625512,100,1210.903967
-100.646265,100,1215.818362
-93.144597,100,1220.881255
-98.385554,100,1225.843302
-75.579337,100,1230.858114
-91.442087,100,1234.842524
-83.888983,100,1238.848347
-69.74773,100,1243.855739
-76.317235,100,1248.864398
-67.656113,100,1253.867644
-73.768363,100,1258.87389
-80.054511,100,1263.881935
-81.091827,100,1268.882018
-111.512185,100,1272.886379
-105.843964,100,1277.911085
-194.511826,100,1281.901853
-511.452431,100,1286.914946
-120.095981,100,1291.900432
-125.026309,100,1296.922043
-703.397566,100,1301.982272
-459.661916,100,1306.937656
-105.752984,100,1310.92913
-119.116956,100,1315.931101
-407.272502,100,1319.948449
-115.13821,100,1324.964906
-89.607415,100,1328.96127
-89.496298,100,1333.971761
-88.869533,100,1337.969968
-112.181285,100,1341.975249
-130.861782,100,1346.972538
-134.919511,100,1351.981695
-149.027631,100,1356.986087
-91.305662,100,1361.984015
-133.957429,100,1365.987155
-131.391757,100,1369.016314
-123.376136,100,1374.009298
-127.247226,100,1379.000259
-153.657303,100,1384.007089
-157.334169,100,1389.014555
-113.482821,100,1394.023773
-95.792921,100,1399.01901
-126.136405,100,1403.023196
-111.562564,100,1408.020327
-181.411055,100,1413.12539
-149.593849,100,1417.107097
-177.041692,100,1421.016703
-133.766527,100,1426.040655
144.116166,19,1430.212305
-161.219452,100,1434.026823
-116.579476,100,1438.039237
-111.653509,100,1443.036123
-163.238134,100,1448.042312
-94.869067,100,1453.050162
-139.924761,100,1458.053667
-143.742887,100,1462.058479
-136.788687,100,1467.072536
-93.502246,100,1471.070824
-112.648527,100,1475.06731
-127.51539,100,1479.077391
-117.554369,100,1484.073517
-144.720287,100,1488.086237
-142.085797,100,1493.100017
-116.790214,100,1498.104175
-98.128205,100,1501.105381
-107.192962,100,1506.112784
-102.072449,100,1510.156555
-87.606109,100,1514.210903
-142.613027,100,1519.137352
-117.069539,100,1524.205815
-98.256743,100,1529.131982
-116.464429,100,1533.124495
-101.579465,100,1536.135497
-88.090737,100,1541.136567
-99.299106,100,1546.14577
-129.16073,100,1550.238426
-134.425718,100,1554.253442
-123.561979,100,1559.245327
-103.432324,100,1563.15452
-117.375259,100,1566.170814
-102.726447,100,1569.235481
-127.447404,100,1573.172958
-107.176516,100,1578.159015
-104.279759,100,1582.257175
-94.562815,100,1586.261097
-112.720883,100,1591.263584
-115.579748,100,1596.298893
-106.112149,100,1601.21076
-95.83862,100,1606.275872
-112.159741,100,1610.286304
-94.071349,100,1614.189739
-94.954034,100,1619.283584
-100.607725,100,1624.255127
-132.326021,100,1628.322534
-96.832979,100,1633.243923
-112.283032,100,1637.318839
-99.124767,100,1642.234101
-113.917638,100,1647.378692
-96.834998,100,1652.33805
-104.409832,100,1657.322736
-116.934958,100,1662.36
-102.611353,100,1667.298804
-103.939599,100,1671.242736
-84.053038,100,1676.246781
-93.439224,100,1681.334053
-104.992193,100,1684.364068
-124.933561,100,1688.327375
-93.088685,100,1692.377914
-104.91597,100,1697.311682
-96.525211,100,1702.370892
-111.655402,100,1707.318848
-120.033525,100,1712.306179
-103.114851,100,1716.347745
-100.739715,100,1720.41417
-83.914632,100,1725.341588
-127.760385,100,1730.43762
-107.027941,100,1735.476467
-92.391365,100,1740.353207
-127.528351,100,1744.444813
-97.164463,100,1749.464119
-93.59897,100,1754.473843
-86.557257,100,1759.45733
-100.552583,100,1763.448123
-89.654427,100,1767.463211
-115.382391,100,1770.433649
-102.63152,100,1773.430457
-82.005919,100,1777.502555
-115.714065,100,1781.471397
-87.423735,100,1784.405988
-105.228973,100,1787.461701
-98.913743,100,1790.503672
-89.285855,100,1795.47498
-98.809899,100,1800.50885
-67.836378,100,1805.446858
-84.394525,100,1810.48782
-125.583418,100,1815.434223
-109.456207,100,1820.452097
-94.328702,100,1825.448674
-88.24688,100,1829.444591
-87.483378,100,1834.439726
123.175194,36,1838.808619
-93.201804,100,1843.45113
-91.841199,100,1847.471767
-124.843885,100,1852.469567
-68.732338,100,1857.453541
-75.199521,100,1861.452697
-80.920802,100,1866.472875
-90.482456,100,1871.468543
-86.859775,100,1876.559059
-105.142947,100,1881.577056
117.548267,40,1885.906983
-80.938002,100,1890.529827
-73.574831,100,1893.51267
-76.586323,100,1897.515235
-85.65629,100,1900.533723
-118.257381,100,1903.537808
-78.329256,100,1907.53396
-107.643545,100,1910.567536
-95.108734,100,1914.604094
-129.770001,100,1919.611622
-83.475836,100,1923.618625
-60.428287,100,1928.621079
-127.465712,100,1933.671914
119.001353,40,1937.999034
-101.657848,100,1941.64512
-86.591337,100,1945.637444
-123.88987,100,1950.654341
-80.755684,100,1954.586735
-136.442595,100,1959.68334
-87.273333,100,1963.624553
145.138496,18,1967.783627
-90.219679,100,1972.679352
-83.120347,100,1977.623919
-65.325481,100,1980.605614
-76.475805,100,1984.609556
-112.871076,100,1987.653213
-64.814272,100,1990.703828
-83.634456,100,1993.62899
-92.89182,100,1998.714068
-111.818639,100,2003.614008
-125.671234,100,2008.651554
-117.226065,100,2013.634628
-81.822398,100,2018.620735
-104.842089,100,2023.675183
-102.405015,100,2028.726644
-101.704441,100,2033.735062
-98.36332,100,2038.644362
-103.645591,100,2043.734315
-91.154949,100,2047.758828
-86.484307,100,2052.747656
-87.472713,100,2057.698624
-151.228982,100,2062.781271
-111.296604,100,2065.791484
-121.819291,100,2070.802573
-150.858286,100,2075.709987
-95.933748,100,2080.709567
-88.700822,100,2085.71913
-105.157645,100,2090.722816
-79.096701,100,2095.740887
-101.945661,100,2100.736455
-77.534993,100,2105.74254
-137.980232,100,2110.772348
-147.999126,100,2115.781502
-115.018943,100,2120.780385
-87.103365,100,2125.768592
-82.542315,100,2130.767798
-149.107663,100,2135.009716
-104.457633,100,2139.822149
-69.96817,100,2144.797615
-97.130317,100,2148.831421
-71.917032,100,2152.881373
123.291374,36,2156.177953
-122.812559,100,2160.824614
-63.399462,100,2164.798408
-64.601504,100,2168.878095
-95.216402,100,2172.887561
-95.456644,100,2176.815162
-102.84478,100,2180.808806
-134.473717,100,2185.81591
-95.207912,100,2189.828602
-136.765998,100,2194.875008
-109.001901,100,2198.912821
146.944362,18,2203.021621
-121.049712,100,2207.927357
-111.347217,100,2211.929934
-83.307531,100,2216.877417
-85.089144,100,2220.845609
-111.48634,100,2225.946673
-193.161046,100,2230.935426
-150.474735,100,2235.959507
-95.579635,100,2240.962338
-113.68286,100,2243.894958
-111.110359,100,2248.986066
-141.756452,100,2253.00878
-221.919509,100,2256.983043
-77.563611,100,2260.993458
-101.60663,100,2265.00564
-88.65245,100,2268.982969
-76.966324,100,2272.979138
-135.939716,100,2277.889115
-125.713817,100,2281.969723
-101.891614,100,2285.933444
-84.270014,100,2290.925085
-96.108903,100,2295.913411
-97.982317,100,2300.930321
-79.942785,100,2305.932368
-96.566605,100,2309.923457
-109.477199,100,2315.047035
-241.324498,100,2319.022996
-119.504158,100,2322.968239
-215.770767,100,2327.106206
-82.065653,100,2331.979994
-77.1676,100,2336.963045
-116.434683,100,2342.066722
-112.256991,100,2345.983721
-154.777463,100,2350.075178
-120.575242,100,2354.994571
-169.12451,100,2359.990381
-112.820451,100,2363.992941
-165.716651,100,2368.089392
-74.088123,100,2373.107698
-117.11073,100,2377.1031
-97.12036,100,2381.017057
-86.494492,100,2386.107491
-96.271218,100,2390.11408
-76.954446,100,2394.030284
-92.516968,100,2399.035361
-78.313167,100,2404.066741
-191.059998,100,2408.082332
-142.09176,100,2413.076721
-138.725309,100,2416.101509
68.549192,71,2418.786129
-75.570655,100,2421.151011
-246.132531,100,2425.104186
-80.018512,100,2429.084437
-120.037025,100,2433.10184
-194.68671,100,2437.232409
-101.190747,100,2442.111007
-70.744229,100,2447.110467
-148.035525,100,2451.120261
-193.399001,100,2455.149791
-123.765467,100,2459.111031
-119.468957,100,2463.124617
-115.389095,100,2467.128724
-89.14189,100,2472.131208
-176.080918,100,2475.155221
-140.154935,100,2479.137893
-147.085127,100,2482.134028
-175.791533,100,2486.165467
-158.196155,100,2491.175337
-126.159088,100,2494.170517
-150.827085,100,2499.177716
-89.743445,100,2502.192971
-90.202125,100,2505.195926
-169.806549,100,2508.230871
-124.286329,100,2511.2015
-208.513738,100,2516.203615
-142.285889,100,2521.208581
-154.432981,100,2525.287861
-130.328235,100,2529.264217
-263.212135,100,2534.568887
-113.288793,100,2537.193856
-160.050982,100,2542.210609
-151.635788,100,2546.207483
-141.994657,100,2550.271349
-126.72859,100,2553.216349
-152.103155,100,2558.22713
-137.614414,100,2562.198907
-144.508877,100,2567.22823
-127.833066,100,2571.258018
-123.685218,100,2576.260602
-93.371566,100,2581.240485
-148.144094,100,2585.278633
-160.434957,100,2590.254003
-131.396063,100,2594.357136
-126.870033,100,2597.363759
-119.120288,100,2601.364684
-146.525124,100,2605.367489
-159.564013,100,2610.332394
-89.637336,100,2614.397045
-130.131768,100,2618.392716
-110.261306,100,2622.345739
-97.620622,100,2626.318442
-125.900159,100,2629.317173
-99.071829,100,2632.319527
-74.539402,100,2636.322305
-103.578343,100,2641.33413
-144.66964,100,2646.357276
-80.276051,100,2651.335131
-145.290452,100,2655.440784
-173.321226,100,2659.469444
-105.57396,100,2662.384043
-134.942908,100,2665.358524
-138.133755,100,2668.367367
-104.954394,100,2672.391035
-132.737611,100,2677.461595
-69.701838,100,2681.425693
