#{"t_start": 1765077872.44755, "env_id": "None"}
r,l,t
-161.483184,100,486.582984
-179.67851,100,491.609962
-182.728599,100,496.758659
-174.000224,100,501.710175
-197.023064,100,506.759995
-197.125968,100,511.733405
-209.696106,100,516.704364
-180.257184,100,519.756501
-200.860186,100,524.647015
-191.60127,100,529.729102
-170.30742,100,534.708299
-181.492963,100,539.715631
-178.977787,100,544.796308
-162.458869,100,549.816415
-196.642911,100,554.760787
-196.669562,100,559.717623
-197.031977,100,564.649808
-168.541355,100,568.718302
-229.291972,100,571.726097
-169.567254,100,574.746906
-167.447079,100,579.846102
-172.579469,100,584.739288
-189.067952,100,589.716861
-164.147488,100,594.774672
-179.818866,100,598.887258
-187.069964,100,602.720344
-187.600674,100,606.773599
-230.241882,100,609.680113
-238.213193,100,613.674978
-274.085739,100,618.710445
-201.691201,100,623.677187
-217.521185,100,627.697547
-283.314763,100,632.797963
-193.195529,100,637.715363
-173.041378,100,642.793471
-196.095269,100,647.746587
-189.527612,100,652.819945
-187.974603,100,657.874693
-168.685018,100,662.817786
-185.948108,100,667.813513
-181.509233,100,671.776109
-206.256544,100,675.758575
-185.793599,100,678.753421
-193.809431,100,683.905171
-188.980797,100,688.900349
-193.593361,100,693.767431
-176.161723,100,697.799552
-191.587846,100,701.857361
-195.148444,100,705.872189
-188.496123,100,710.905359
-194.540631,100,715.991916
-187.739331,100,719.928284
-203.992256,100,722.916021
-179.284222,100,725.861427
-182.897921,100,728.988249
-179.769514,100,733.926707
-194.575684,100,738.982929
-191.671246,100,743.956525
-202.733531,100,749.166196
-199.63422,100,754.110534
-189.720643,100,757.079479
-192.333963,100,760.019872
-192.656189,100,765.031435
-189.425718,100,769.907931
-193.914122,100,774.931434
-200.381974,100,779.923737
-173.284258,100,782.967988
-165.772995,100,787.968553
-192.158471,100,792.964234
-204.594818,100,797.954005
-208.288268,100,800.959135
-214.88258,100,806.041281
-188.538933,100,808.965369
-168.989341,100,813.965385
-180.290347,100,817.991942
-192.83411,100,823.081771
-232.647787,100,827.929245
-186.387774,100,832.996451
-181.379036,100,837.032622
-191.905091,100,840.000959
-182.187885,100,843.957551
-191.762388,100,846.925583
-182.631882,100,849.92649
-164.076514,100,854.988558
-171.151697,100,860.042012
-181.937794,100,865.035231
-204.592611,100,870.030156
-177.151861,100,874.07846
-185.26116,100,877.130519
-201.659261,100,880.063757
-180.351418,100,885.094814
-179.187261,100,890.067582
-185.014777,100,894.134309
-191.243723,100,896.999
-168.47679,100,901.154087
-193.049973,100,906.162249
-175.349826,100,911.02388
-186.287021,100,916.077022
-182.938408,100,921.207142
